Links,Text in links
https://en.wikipedia.org/wiki/Ancient_Greek_language,Ancient Greek
https://en.wikipedia.org/wiki/Zeus,Zeus
"https://en.wikipedia.org/wiki/Olympia,_Greece","Olympia, Greece"
https://en.wikipedia.org/wiki/City-state,city-states
https://en.wikipedia.org/wiki/Ancient_Greece,Ancient Greece
https://en.wikipedia.org/wiki/Pankration,pankration
https://en.wikipedia.org/wiki/Heracles,Heracles
https://en.wikipedia.org/wiki/Zeus,Zeus
https://en.wikipedia.org/wiki/Labours_of_Hercules,twelve labours
https://en.wikipedia.org/wiki/Olympic_Stadium,Olympic Stadium
https://en.wikipedia.org/wiki/Stadion_(unit_of_length),stadion
https://en.wikipedia.org/wiki/Latin,Latin
https://en.wikipedia.org/wiki/Stadion_(unit_of_length),unit of distance
https://en.wikipedia.org/wiki/Discus_throw,discus
https://en.wikipedia.org/wiki/Pankration,pankration
https://en.wikipedia.org/wiki/Equestrianism,equestrian
https://en.wikipedia.org/wiki/Coroebus_of_Elis,Coroebus
https://en.wikipedia.org/wiki/Elis_(city),Elis
https://en.wikipedia.org/wiki/Statue_of_Zeus_at_Olympia,famous statue
https://en.wikipedia.org/wiki/Phidias,Phidias
"https://en.wikipedia.org/wiki/Olympia,_Greece",Olympia
https://en.wikipedia.org/wiki/Pelops,Pelops
https://en.wikipedia.org/wiki/Oenomaus,Oenomaus
"https://en.wikipedia.org/wiki/Pisa,_Greece",Pisatis
https://en.wikipedia.org/wiki/Olympiad,Olympiad
https://en.wikipedia.org/wiki/Panhellenic_Games,Panhellenic Games
https://en.wikipedia.org/wiki/Pythian_Games,Pythian Games
https://en.wikipedia.org/wiki/Nemean_Games,Nemean Games
https://en.wikipedia.org/wiki/Isthmian_Games,Isthmian Games
https://en.wikipedia.org/wiki/Ancient_Rome,Romans
https://en.wikipedia.org/wiki/Theodosius_I,Theodosius I
https://en.wikipedia.org/wiki/Theodosius_II,Theodosius II
https://en.wikipedia.org/wiki/Cotswold_Games,Cotswold Games
https://en.wikipedia.org/wiki/Chipping_Campden,Chipping Campden
https://en.wikipedia.org/wiki/Robert_Dover_(Cotswold_Games),Robert Dover
https://en.wikipedia.org/wiki/British_Olympic_Association,British Olympic Association
https://en.wikipedia.org/wiki/2012_Olympic_Games,2012 Olympic Games
https://en.wikipedia.org/wiki/French_Revolution,Revolutionary France
https://en.wikipedia.org/wiki/Metric_system,metric system
https://en.wikipedia.org/wiki/Sweden,Sweden
https://en.wikipedia.org/wiki/Stockholm,Stockholm
https://en.wikipedia.org/wiki/William_Penny_Brookes,William Penny Brookes
https://en.wikipedia.org/wiki/Much_Wenlock,Much Wenlock
https://en.wikipedia.org/wiki/Shropshire,Shropshire
https://en.wikipedia.org/wiki/Wenlock_Olympian_Games,Wenlock Olympian Games
https://en.wikipedia.org/wiki/Liverpool,Liverpool
https://en.wikipedia.org/wiki/John_Hulley,John Hulley
https://en.wikipedia.org/wiki/Charles_Pierre_Melly,Charles Pierre Melly
https://en.wikipedia.org/wiki/British_Olympic_Association,British Olympic Association
https://en.wikipedia.org/wiki/Olympic_Charter,International Olympic Charter
https://en.wikipedia.org/wiki/The_Crystal_Palace,Crystal Palace
https://en.wikipedia.org/wiki/Greek_War_of_Independence,Greek War of Independence
https://en.wikipedia.org/wiki/Ottoman_Empire,Ottoman Empire
https://en.wikipedia.org/wiki/Panagiotis_Soutsos,Panagiotis Soutsos
https://en.wikipedia.org/wiki/Evangelos_Zappas,Evangelos Zappas
https://en.wikipedia.org/wiki/King_Otto_of_Greece,King Otto of Greece
https://en.wikipedia.org/wiki/Zappas_Olympics,Olympic Games
https://en.wikipedia.org/wiki/Athens,Athens
https://en.wikipedia.org/wiki/Panathenaic_Stadium,Panathenaic Stadium
https://en.wikipedia.org/wiki/Wenlock_Olympian_Society,Wenlock Olympian Society
https://en.wikipedia.org/wiki/Pierre_de_Coubertin,Pierre de Coubertin
https://en.wikipedia.org/wiki/International_Olympic_Committee,International Olympic Committee
https://en.wikipedia.org/wiki/Olympic_Congress,Olympic Congress
https://en.wikipedia.org/wiki/University_of_Paris,University of Paris
https://en.wikipedia.org/wiki/Demetrius_Vikelas,Demetrius Vikelas
https://en.wikipedia.org/wiki/Athens,Athens
https://en.wikipedia.org/wiki/Konstantinos_Zappas,Konstantinos Zappas
https://en.wikipedia.org/wiki/George_Averoff,George Averoff
https://en.wikipedia.org/wiki/1900_Summer_Olympics,second Olympics
https://en.wikipedia.org/wiki/Exposition_Universelle_(1900),Paris Exposition in 1900
https://en.wikipedia.org/wiki/Louisiana_Purchase_Exposition,Louisiana Purchase Exposition
https://en.wikipedia.org/wiki/St._Louis,St. Louis
https://en.wikipedia.org/wiki/1904_Summer_Olympics,1904
https://en.wikipedia.org/wiki/Athletics_at_the_1904_Summer_Olympics_%E2%80%93_Men%27s_marathon,marathon
https://en.wikipedia.org/wiki/1906_Intercalated_Games,1906 Intercalated Games
https://en.wikipedia.org/wiki/List_of_IOC_meetings,1921 Olympic Congress
https://en.wikipedia.org/wiki/Lausanne,Lausanne
https://en.wikipedia.org/wiki/1924_Winter_Olympics,1924
https://en.wikipedia.org/wiki/Chamonix,Chamonix
https://en.wikipedia.org/wiki/1924_Summer_Olympics,Paris Games
https://en.wikipedia.org/wiki/Winter_Olympic_Games,Winter Olympic Games
https://en.wikipedia.org/wiki/1992_Winter_Olympics,1992 Games
https://en.wikipedia.org/wiki/Albertville,Albertville
https://en.wikipedia.org/wiki/1994_Winter_Olympics,1994 Games
https://en.wikipedia.org/wiki/Ludwig_Guttmann,Sir Ludwig Guttmann
https://en.wikipedia.org/wiki/World_War_II,World War II
https://en.wikipedia.org/wiki/1948_Summer_Olympics,1948 London Olympics
https://en.wikipedia.org/wiki/Stoke_Mandeville_Games,Stoke Mandeville Games
https://en.wikipedia.org/wiki/1960_Summer_Olympics,Summer Olympics
https://en.wikipedia.org/wiki/1960_Summer_Paralympics,Paralympics
https://en.wikipedia.org/wiki/1988_Summer_Olympics,1988 Summer Games
https://en.wikipedia.org/wiki/International_Olympic_Committee,International Olympic Committee
https://en.wikipedia.org/wiki/International_Paralympic_Committee,International Paralympic Committee
https://en.wikipedia.org/wiki/2008_Summer_Paralympics,2008 Summer Games
https://en.wikipedia.org/wiki/2010_Winter_Paralympics,2010 Winter Games
https://en.wikipedia.org/wiki/London_Organising_Committee_of_the_Olympic_Games_and_Paralympic_Games,LOCOG
https://en.wikipedia.org/wiki/Sebastian_Coe,Lord Coe
https://en.wikipedia.org/wiki/2012_Summer_Paralympics,Paralympics
https://en.wikipedia.org/wiki/2012_Summer_Olympics,Olympics
https://en.wikipedia.org/wiki/Jacques_Rogge,Jacques Rogge
https://en.wikipedia.org/wiki/2010_Summer_Youth_Olympics,first Summer Youth Games
https://en.wikipedia.org/wiki/2012_Winter_Youth_Olympics,inaugural Winter Games
https://en.wikipedia.org/wiki/Innsbruck,Innsbruck
https://en.wikipedia.org/wiki/2020_Summer_Olympics,2020
https://en.wikipedia.org/wiki/Beijing,Beijing
https://en.wikipedia.org/wiki/2022_Winter_Olympics,2022
https://en.wikipedia.org/wiki/Olympic_Village,Olympic Village
https://en.wikipedia.org/wiki/National_Olympic_Committee,National Olympic Committees
https://en.wikipedia.org/wiki/Colony,colonies
https://en.wikipedia.org/wiki/Dependent_territory,dependencies
https://en.wikipedia.org/wiki/Puerto_Rico,Puerto Rico
https://en.wikipedia.org/wiki/Bermuda,Bermuda
https://en.wikipedia.org/wiki/Hong_Kong,Hong Kong
https://en.wikipedia.org/wiki/Sint_Maarten,Sint Maarten
https://en.wikipedia.org/wiki/Cura%C3%A7ao,Curaçao
https://en.wikipedia.org/wiki/Aruba,Aruba
https://en.wikipedia.org/wiki/Aruban_Olympic_Committee,Aruban Olympic Committee
https://en.wikipedia.org/wiki/Netherlands_Antilles,Netherlands Antilles
https://en.wikipedia.org/wiki/Netherlands,Netherlands
https://en.wikipedia.org/wiki/Aruba,Aruba
https://en.wikipedia.org/wiki/1976_Summer_Olympics,1976 Summer Games in Montreal
https://en.wikipedia.org/wiki/Peter_Ueberroth,Peter Ueberroth
https://en.wikipedia.org/wiki/LA84_Foundation,LA84 Foundation
https://en.wikipedia.org/wiki/Southern_California,Southern California
https://en.wikipedia.org/wiki/Power-law_distribution,power-law distribution
https://en.wikipedia.org/wiki/Cost_overrun,cost overruns
https://en.wikipedia.org/wiki/Bob_Barney,Bob Barney
https://en.wikipedia.org/wiki/Social_environment,sociocultural impacts
https://en.wikipedia.org/wiki/International_Society_of_Olympic_Historians,International Society of Olympic Historians
https://en.wikipedia.org/wiki/Corporate_giving,philanthropic contributions of corporations
https://en.wikipedia.org/wiki/Centre_on_Housing_Rights_and_Evictions,Centre on Housing Rights and Evictions
https://en.wikipedia.org/wiki/2014_Winter_Olympics,2014 Winter Olympics
https://en.wikipedia.org/wiki/Sochi,Sochi
https://en.wikipedia.org/wiki/European_Bank_for_Reconstruction_and_Development,European Bank for Reconstruction and Development
https://en.wikipedia.org/wiki/Krasnodar_Krai,Krasnodar region
https://en.wikipedia.org/wiki/2022_Winter_Olympics,2022 Winter Olympics
https://en.wikipedia.org/wiki/Bids_for_the_2022_Winter_Olympics,a two-city race
https://en.wikipedia.org/wiki/Almaty,Almaty
https://en.wikipedia.org/wiki/Kazakhstan,Kazakhstan
https://en.wikipedia.org/wiki/2008_Summer_Olympics,2008 Summer Olympics
https://en.wikipedia.org/wiki/2024_Summer_Olympics,2024 Summer Olympics
https://en.wikipedia.org/wiki/Bids_for_the_2024_and_2028_Summer_Olympics,simultaneously awarding
https://en.wikipedia.org/wiki/2028_Summer_Olympics,2028 Games
https://en.wikipedia.org/wiki/International_Olympic_Committee,International Olympic Committee
https://en.wikipedia.org/wiki/Avery_Brundage,Avery Brundage
https://en.wikipedia.org/wiki/Juan_Antonio_Samaranch,Juan Antonio Samaranch
https://en.wikipedia.org/wiki/Eastern_Bloc,Eastern Bloc
https://en.wikipedia.org/wiki/Amateur_sports,amateur
https://en.wikipedia.org/wiki/Antisemitism,antisemitism
https://en.wikipedia.org/wiki/Apartheid-era_South_Africa_and_the_Olympics,resisting the exclusion of South Africa
https://en.wikipedia.org/wiki/Nepotism,nepotism
https://en.wikipedia.org/wiki/Francoist_Spain,Franco regime
https://en.wikipedia.org/wiki/2002_Winter_Olympic_bid_scandal,taken gifts
https://en.wikipedia.org/wiki/Salt_Lake_City,Salt Lake City
https://en.wikipedia.org/wiki/2002_Winter_Olympics,2002 Winter Olympics
https://en.wikipedia.org/wiki/United_States_Olympic_Committee,United States Olympic Committee
https://en.wikipedia.org/wiki/Salt_Lake_Organizing_Committee_for_the_Olympic_and_Paralympic_Winter_Games_of_2002,Salt Lake Organizing Committee
https://en.wikipedia.org/wiki/United_States_Department_of_Justice,United States Department of Justice
https://en.wikipedia.org/wiki/Term_limit,term
https://en.wikipedia.org/wiki/USD,$
https://en.wikipedia.org/wiki/1998_Winter_Olympics,Nagano Olympic
https://en.wikipedia.org/wiki/Nagano_Olympic_Organizing_Committee,Nagano
https://en.wikipedia.org/wiki/Broadcasting_rights,broadcasting rights
https://en.wikipedia.org/wiki/Bob_Barney,Bob Barney
https://en.wikipedia.org/wiki/BBC,BBC
https://en.wikipedia.org/wiki/2012_Summer_Olympics,2012 Summer Olympics
https://en.wikipedia.org/wiki/Bertrand_Delano%C3%AB,Bertrand Delanoë
https://en.wikipedia.org/wiki/Tony_Blair,Tony Blair
https://en.wikipedia.org/wiki/London_bid_for_the_2012_Summer_Olympics,London bid committee
https://en.wikipedia.org/wiki/Sebastian_Coe,Sebastian Coe
https://en.wikipedia.org/wiki/Jacques_Chirac,Jacques Chirac
https://en.wikipedia.org/wiki/Turin,Turin
https://en.wikipedia.org/wiki/Turin_bid_for_the_2006_Winter_Olympics,bid
https://en.wikipedia.org/wiki/2006_Winter_Olympics,2006 Winter Olympics
https://en.wikipedia.org/wiki/Marc_Hodler,Marc Hodler
https://en.wikipedia.org/wiki/Sion_bid_for_the_2006_Winter_Olympics,bid
"https://en.wikipedia.org/wiki/Sion,_Switzerland",Sion
https://en.wikipedia.org/wiki/1896_Summer_Olympics,1896 Summer Olympics
https://en.wikipedia.org/wiki/Kodak,Kodak
https://en.wikipedia.org/wiki/Oxo_(food),Oxo
https://en.wikipedia.org/wiki/Odol,Odol
https://en.wikipedia.org/wiki/1908_Summer_Olympics,London Olympic Games
https://en.wikipedia.org/wiki/Coca-Cola,Coca-Cola
https://en.wikipedia.org/wiki/1928_Summer_Olympics,1928
https://en.wikipedia.org/wiki/Avery_Brundage,Avery Brundage
https://en.wikipedia.org/wiki/Juan_Antonio_Samaranch,Juan Antonio Samaranch
https://en.wikipedia.org/wiki/1984_Summer_Olympics,1984 Summer Olympics
https://en.wikipedia.org/wiki/Peter_Ueberroth,Peter Ueberroth
https://en.wikipedia.org/wiki/Olympic_rings,interlocking rings
https://en.wikipedia.org/wiki/1936_Summer_Olympics,1936 Summer Olympics
https://en.wikipedia.org/wiki/1956_Winter_Olympics,1956 Winter Olympics
https://en.wikipedia.org/wiki/1960_Winter_Olympics,following Winter Games
https://en.wikipedia.org/wiki/CBS,CBS
https://en.wikipedia.org/wiki/International_Olympic_Committee,International Olympic Committee
https://en.wikipedia.org/wiki/1998_Winter_Olympics,1998 Nagano Games
https://en.wikipedia.org/wiki/NBC,NBC
https://en.wikipedia.org/wiki/NBC,NBC
https://en.wikipedia.org/wiki/2020_Summer_Olympics,2020 Games
https://en.wikipedia.org/wiki/Youth_Olympic_Games,Youth Olympic Games
https://en.wikipedia.org/wiki/2014_Summer_Youth_Olympics,2014
https://en.wikipedia.org/wiki/Paralympic_Games,Paralympic Games
https://en.wikipedia.org/wiki/Color_television,colour television
https://en.wikipedia.org/wiki/1968_Summer_Olympics,1968 Mexico City Games
https://en.wikipedia.org/wiki/1984_Summer_Olympics,Los Angeles Games of 1984
https://en.wikipedia.org/wiki/1992_Summer_Olympics,1992 Summer Olympics
https://en.wikipedia.org/wiki/2008_Summer_Olympics,2008 Summer Olympics
https://en.wikipedia.org/wiki/2020_Summer_Olympics,2020 Summer Olympics
https://en.wikipedia.org/wiki/Prime_time#North_America,prime time
https://en.wikipedia.org/wiki/Olympic_rings,Olympic rings
https://en.wikipedia.org/wiki/Africa,Africa
https://en.wikipedia.org/wiki/Americas,The Americas
https://en.wikipedia.org/wiki/Asia,Asia
https://en.wikipedia.org/wiki/Europe,Europe
https://en.wikipedia.org/wiki/Oceania,Oceania
https://en.wikipedia.org/wiki/1920_Summer_Olympics,1920 Summer Olympics
https://en.wikipedia.org/wiki/Olympic_motto,Olympic motto
https://en.wikipedia.org/wiki/Latin,Latin
https://en.wikipedia.org/wiki/Pierre_de_Coubertin,Pierre de Coubertin
https://en.wikipedia.org/wiki/Dominican_Order,Dominican
https://en.wikipedia.org/wiki/Henri_Didon,Henri Didon
https://en.wikipedia.org/wiki/Olympic_creed,Olympic creed
https://en.wikipedia.org/wiki/Olympic_Flame,Olympic Flame
"https://en.wikipedia.org/wiki/Temple_of_Hera,_Olympia",Temple of Hera
https://en.wikipedia.org/wiki/Vestal_Virgins,Vestal Virgins
https://en.wikipedia.org/wiki/Parabolic_reflector,parabolic mirror
https://en.wikipedia.org/wiki/1928_Summer_Olympics,1928
https://en.wikipedia.org/wiki/1936_Summer_Olympics,1936 Summer Games
https://en.wikipedia.org/wiki/Nazi_Germany,Third Reich
https://en.wikipedia.org/wiki/List_of_Olympic_mascots,Olympic mascot
https://en.wikipedia.org/wiki/1968_Summer_Olympics,1968
https://en.wikipedia.org/wiki/1980_Summer_Olympics,1980 Summer Olympics
https://en.wikipedia.org/wiki/Misha,Misha
https://en.wikipedia.org/wiki/Much_Wenlock,Much Wenlock
https://en.wikipedia.org/wiki/Shropshire,Shropshire
https://en.wikipedia.org/wiki/Olympic_Charter,Olympic Charter
https://en.wikipedia.org/wiki/2004_Summer_Olympics,2004 Summer Olympics
https://en.wikipedia.org/wiki/Athens,"Athens, Greece"
https://en.wikipedia.org/wiki/2020_Summer_Olympics,2020 Summer Olympics
https://en.wikipedia.org/wiki/President_of_the_Organising_Committee_for_the_Olympic_Games,President of the Organizing Committee
https://en.wiktionary.org/wiki/rostrum,rostrum
https://en.wikipedia.org/wiki/National_anthem,national anthem
https://en.wikipedia.org/wiki/Podium,podium
https://en.wikipedia.org/wiki/1930_British_Empire_Games,1930 British Empire Games
https://en.wikipedia.org/wiki/Melville_Marks_Robinson,Melville Marks Robinson
https://en.wikipedia.org/wiki/Olympic_sports,Olympic Games programme
https://en.wikipedia.org/wiki/Wrestling_at_the_Summer_Olympics,wrestling
https://en.wikipedia.org/wiki/Greco-Roman_wrestling,Greco-Roman
https://en.wikipedia.org/wiki/Freestyle_wrestling,Freestyle
https://en.wikipedia.org/wiki/Athletics_at_the_Summer_Olympics,Athletics
https://en.wikipedia.org/wiki/Swimming_at_the_Summer_Olympics,swimming
https://en.wikipedia.org/wiki/Fencing_at_the_Summer_Olympics,fencing
https://en.wikipedia.org/wiki/Gymnastics_at_the_Summer_Olympics,artistic gymnastics
https://en.wikipedia.org/wiki/Cross-country_skiing_at_the_Winter_Olympics,Cross-country skiing
https://en.wikipedia.org/wiki/Figure_skating_at_the_Olympic_Games,figure skating
https://en.wikipedia.org/wiki/Ice_hockey_at_the_Olympic_Games,ice hockey
https://en.wikipedia.org/wiki/Nordic_combined_at_the_Winter_Olympics,Nordic combined
https://en.wikipedia.org/wiki/Ski_jumping_at_the_Winter_Olympics,ski jumping
https://en.wikipedia.org/wiki/Speed_skating_at_the_Winter_Olympics,speed skating
https://en.wikipedia.org/wiki/1924_Winter_Olympics,1924
https://en.wikipedia.org/wiki/Badminton_at_the_Summer_Olympics,badminton
https://en.wikipedia.org/wiki/Basketball_at_the_Summer_Olympics,basketball
https://en.wikipedia.org/wiki/Volleyball_at_the_Summer_Olympics,volleyball
https://en.wikipedia.org/wiki/Demonstration_sport,demonstration sports
https://en.wikipedia.org/wiki/List_of_international_sport_federations,international sports federations
https://en.wikipedia.org/wiki/Squash_(sport),squash
https://en.wikipedia.org/wiki/2016_Summer_Olympics,2016
https://en.wikipedia.org/wiki/2020_Summer_Olympics,2020 Summer Olympic Games
https://en.wikipedia.org/wiki/List_of_IOC_meetings,IOC Session
https://en.wikipedia.org/wiki/117th_IOC_Session,117th IOC Session
https://en.wikipedia.org/wiki/Baseball_at_the_Summer_Olympics,baseball
https://en.wikipedia.org/wiki/Softball_at_the_Summer_Olympics,softball
https://en.wikipedia.org/wiki/2012_Summer_Olympics,2012 London Games
https://en.wikipedia.org/wiki/Ethos,ethos
https://en.wikipedia.org/wiki/Public_school_(United_Kingdom),English public school
https://en.wikipedia.org/wiki/Pierre_de_Coubertin,Pierre de Coubertin
https://en.wikipedia.org/wiki/1912_Summer_Olympics,1912 Olympic
https://en.wikipedia.org/wiki/Decathlon,decathlon
https://en.wikipedia.org/wiki/Jim_Thorpe,Jim Thorpe
https://en.wikipedia.org/wiki/Athletics_at_the_1912_Summer_Olympics_%E2%80%93_Men%27s_decathlon,outside of the 30 day period
https://en.wikipedia.org/wiki/1936_Winter_Olympics,1936 Winter Olympics
https://en.wikipedia.org/wiki/Eastern_Bloc,Eastern Bloc
https://en.wikipedia.org/wiki/Amateur_sports#Olympics,amateur
https://en.wikipedia.org/wiki/Soviet_Union_at_the_Olympics,Soviet Union
https://en.wikipedia.org/wiki/Amateur_sports,amateurism
https://en.wikipedia.org/wiki/Pierre_de_Coubertin,Pierre de Coubertin
https://en.wikipedia.org/wiki/Professional_athlete,professional athletes
https://en.wikipedia.org/wiki/Collapse_of_the_Soviet_Union,collapse of the Soviet Union
https://en.wikipedia.org/wiki/International_Olympic_Committee,International Olympic Committee
https://en.wikipedia.org/wiki/Canadian_Amateur_Hockey_Association,Canadian Amateur Hockey Association
https://en.wikipedia.org/wiki/Montreal,Montreal
https://en.wikipedia.org/wiki/Winnipeg,Winnipeg
https://en.wikipedia.org/wiki/G%C3%BCnther_Sabetzki,Günther Sabetzki
https://en.wikipedia.org/wiki/Greece,Greece
https://en.wikipedia.org/wiki/Australia,Australia
https://en.wikipedia.org/wiki/France,France
https://en.wikipedia.org/wiki/United_Kingdom,United Kingdom
https://en.wikipedia.org/wiki/Olympic_Council_of_Ireland,Olympic Council of Ireland
https://en.wikipedia.org/wiki/1936_Summer_Olympics,1936 Berlin Games
https://en.wikipedia.org/wiki/Irish_Free_State,Irish Free State
https://en.wikipedia.org/wiki/1956_Summer_Olympics,1956 Melbourne Olympics
https://en.wikipedia.org/wiki/Netherlands,Netherlands
https://en.wikipedia.org/wiki/Spain,Spain
https://en.wikipedia.org/wiki/Switzerland,Switzerland
https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1956,Hungarian uprising
https://en.wikipedia.org/wiki/Soviet_Union,Soviet Union
https://en.wikipedia.org/wiki/Cambodia,Cambodia
https://en.wikipedia.org/wiki/Egypt,Egypt
https://en.wikipedia.org/wiki/Iraq,Iraq
https://en.wikipedia.org/wiki/Lebanon,Lebanon
https://en.wikipedia.org/wiki/Suez_Crisis,Suez Crisis
https://en.wikipedia.org/wiki/China,People's Republic of China
https://en.wikipedia.org/wiki/Republic_of_China,Republic of China
https://en.wikipedia.org/wiki/Taiwan,Taiwan
https://en.wikipedia.org/wiki/1972_Summer_Olympics,1972
https://en.wikipedia.org/wiki/1976_Summer_Olympics,1976
https://en.wikipedia.org/wiki/South_Africa,South Africa
https://en.wikipedia.org/wiki/Rhodesia,Rhodesia
https://en.wikipedia.org/wiki/Racial_segregation,segregationist
https://en.wikipedia.org/wiki/New_Zealand,New Zealand
https://en.wikipedia.org/wiki/New_Zealand_national_rugby_union_team,its national rugby union team
https://en.wikipedia.org/wiki/Apartheid_in_South_Africa,apartheid
https://en.wikipedia.org/wiki/Guyana,Guyana
https://en.wikipedia.org/wiki/1976_Summer_Olympics,1976 Games
https://en.wikipedia.org/wiki/Pierre_Elliott_Trudeau,Pierre Elliott Trudeau
https://en.wikipedia.org/wiki/Flag_of_the_Republic_of_China,ROC flag
https://en.wikipedia.org/wiki/National_Anthem_of_the_Republic_of_China,anthem
https://en.wikipedia.org/wiki/Cold_War,Cold War
https://en.wikipedia.org/wiki/United_States,United States
https://en.wikipedia.org/wiki/1980_Summer_Olympics,Moscow Olympics in 1980
https://en.wikipedia.org/wiki/Soviet%E2%80%93Afghan_War,Soviet invasion of Afghanistan
https://en.wikipedia.org/wiki/1984_Summer_Olympics,Los Angeles Olympics of 1984
https://en.wikipedia.org/wiki/Friendship_Games,Friendship Games
https://en.wikipedia.org/wiki/Human_rights_in_the_People%27s_Republic_of_China,human rights record
https://en.wikipedia.org/wiki/2008_Tibetan_unrest,Tibetan disturbances
https://en.wikipedia.org/wiki/Georgia_(country),Georgia
https://en.wikipedia.org/wiki/2014_Winter_Olympics,2014 Winter Olympics
https://en.wikipedia.org/wiki/Sochi,Sochi
https://en.wikipedia.org/wiki/2008_South_Ossetia_war,2008 South Ossetia war
https://en.wikipedia.org/wiki/Concerns_and_controversies_at_the_2022_Winter_Olympics#Diplomatic_boycotts_or_non-attendance,diplomatic boycotts
https://en.wikipedia.org/wiki/2022_Winter_Olympics,2022 Winter Olympics
https://en.wikipedia.org/wiki/Nazism,National Socialist Party
https://en.wikipedia.org/wiki/1936_Summer_Olympics,1936 Games
https://en.wikipedia.org/wiki/Aryan,Aryan
https://en.wikipedia.org/wiki/Aryan,Aryan
https://en.wikipedia.org/wiki/Jesse_Owens,Jesse Owens
https://en.wikipedia.org/wiki/Hungary_at_the_1936_Summer_Olympics,Hungarian
https://en.wikipedia.org/wiki/Ibolya_Cs%C3%A1k,Ibolya Csák
https://en.wikipedia.org/wiki/Soviet_Union_at_the_Olympics,Soviet Union
https://en.wikipedia.org/wiki/1952_Summer_Olympics,1952 Summer Olympics
https://en.wikipedia.org/wiki/Spartakiad,Spartakiads
https://en.wikipedia.org/wiki/Socialist_Workers%27_Sport_International,Workers Olympics
https://en.wikipedia.org/wiki/Soviet_Union_at_the_1956_Summer_Olympics,1956 Summer Games
https://en.wikipedia.org/wiki/1968_Summer_Olympics,1968 Summer Olympics
https://en.wikipedia.org/wiki/Tommie_Smith,Tommie Smith
https://en.wikipedia.org/wiki/John_Carlos,John Carlos
https://en.wikipedia.org/wiki/1968_Olympics_Black_Power_salute,Black Power salute
https://en.wikipedia.org/wiki/Peter_Norman,Peter Norman
https://en.wikipedia.org/wiki/Olympic_Project_for_Human_Rights,Olympic Project for Human Rights
